Airport Name,City,IATA Code,Country
Algiers,Houari Boumediene Airport,ALG,Algeria
Annaba,Rabah Bitat Airport,AAE,Algeria
Batna,Batna Airport,BLJ,Algeria
Béjaïa,Soummam Airport,BJA,Algeria
Chlef,Chlef International Airport,CFK,Algeria
Constantine,Mohamed Boudiaf International Airport,CZL,Algeria
Jijel,Jijel Ferhat Abbas Airport,GJL,Algeria
Oran,Oran Es Senia Airport,ORN,Algeria
Oumache,Biskra Airport,BSK,Algeria
Sétif,Ain Arnat Airport,QSF,Algeria
Tlemcen,Zenata – Messali El Hadj Airport,TLM,Algeria
Alexandria,Borg El Arab International Airport,HBE,Egypt
Alexandria,El Nouzha Airport (OPEN),ALY,Egypt
Asyut,Assiut Airport,ATZ,Egypt
Aswan,Aswan International Airport,ASW,Egypt
Cairo,Cairo International Airport,CAI,Egypt
Cairo,Sphinx International Airport,SPX,Egypt
El Arish,El Arish International Airport,AAC,Egypt
El Dabaa,El Alamein International Airport,DBB,Egypt
Hurghada,Hurghada International Airport,HRG,Egypt
Luxor,Luxor International Airport,LXR,Egypt
Marsa Alam,Marsa Alam International Airport,RMF,Egypt
Mersa Matruh,Mersa Matruh International Airport,MUH,Egypt
Saint Catherine,St. Catherine International Airport,SKV,Egypt
Sharm El Sheikh,Sharm El Sheikh International Airport,SSH,Egypt
Sohag,Sohag International Airport,HMB,Egypt
Taba,Taba International Airport,TCP,Egypt
Benghazi,Benina International Airport,BEN,Libya
Sabha,Sabha Airport,SEB,Libya
Tripoli,Tripoli International Airport,TIP,Libya
Tajoura,Mitiga International Airport,MJI,Libya
Agadir,Agadir–Al Massira Airport,AGA,Morocco
Casablanca,Mohammed V International Airport,CMN,Morocco
Fes,Fès–Saïs Airport,FEZ,Morocco
Marrakech,Marrakesh Menara Airport,RAK,Morocco
Nador,Nador International Airport,NDR,Morocco
Ouarzazate,Ouarzazate Airport,OZZ,Morocco
Oujda,Angads Airport,OUD,Morocco
Rabat,Rabat–Salé Airport,RBA,Morocco
Tangier,Tangier Ibn Battouta Airport,TNG,Morocco
Tetouan,Sania Ramel Airport,TTU,Morocco
Dakhla,Dakhla Airport,VIL,Morocco
Laayoune,Hassan I Airport,EUN,Morocco
Khartoum,Khartoum International Airport,KRT,Sudan
Port Sudan,Port Sudan New International Airport,PZU,Sudan
Djerba,Djerba–Zarzis International Airport,DJE,Tunisia
Enfidha,Enfidha–Hammamet International Airport,NBE,Tunisia
Monastir,Monastir Habib Bourguiba International Airport,MIR,Tunisia
Sfax,Sfax–Thyna International Airport,SFA,Tunisia
Tabarka,Tabarka–Aïn Draham International Airport,TBJ,Tunisia
Tozeur,Tozeur–Nefta International Airport,TOE,Tunisia
Tunis,Tunis–Carthage International Airport,TUN,Tunisia
Cotonou,Cadjehoun Airport,COO,Benin
Bobo-Dioulasso,Bobo Dioulasso Airport,BOY,Burkina Faso
Ouagadougou,Thomas Sankara International Airport Ouagadougou,OUA,Burkina Faso
Boa Vista,Aristides Pereira International Airport,BVC,Cape Verde
Sal Island,Amílcar Cabral International Airport,SID,Cape Verde
"Praia, Santiago Island",Nelson Mandela International Airport,RAI,Cape Verde
São Vicente,Cesária Évora Airport,VXE,Cape Verde
Abidjan,Félix-Houphouët-Boigny International Airport,ABJ,Côte d'Ivoire
Banjul,Banjul International Airport,BJL,The Gambia
Accra,Kotoka International Airport,ACC,Ghana
Kumasi,Kumasi International Airport,KMS,Ghana
Takoradi,Takoradi Airport,TKD,Ghana
Sunyani,Sunyani Airport,NYI,Ghana
Ho,Ho Airport,HZO,Ghana
Wa,Wa Airport,WZA,Ghana
Tamale,Tamale Airport,TML,Ghana
Conakry,Conakry International Airport,CKY,Guinea
Bissau,Osvaldo Vieira International Airport,OXB,Guinea-Bissau
Monrovia,Roberts International Airport,ROB,Liberia
Bamako,Modibo Keita International Airport,BKO,Mali
Nouakchott,Nouakchott–Oumtounsy International Airport,NKC,Mauritania
Nouadhibou,Nouadhibou International Airport,NDB,Mauritania
Atar,Atar International Airport,ATR,Mauritania
Niamey,Diori Hamani International Airport,NIM,Niger
Abuja,Nnamdi Azikiwe International Airport,ABV,Nigeria
Calabar,Margaret Ekpo International Airport,CBQ,Nigeria
"Asaba, Delta",Asaba International Airport,ABB,Nigeria
Kano,Mallam Aminu Kano International Airport,KAN,Nigeria
Lagos,Murtala Muhammed International Airport,LOS,Nigeria
Port Harcourt,Port Harcourt International Airport,PHC,Nigeria
Enugu,Akanu Ibiam International Airport,ENU,Nigeria
Sokoto,Sadiq Abubakar III International Airport,SKO,Nigeria
Saint Helena,Saint Helena Airport,HLE,"Saint Helena, Ascension and Tristan da Cunha"
Dakar,Blaise Diagne International Airport,DSS,Senegal
Freetown,Lungi International Airport,FNA,Sierra Leone
Lomé,Lomé–Tokoin International Airport,LFW,Togo
Luanda,Quatro de Fevereiro Airport,LAD,Angola
Lubango,Lubango Airport,SDD,Angola
Douala,Douala International Airport,DLA,Cameroon
